Subpopulation,Indicator,NResp,Value,Estimate.P,LCB95Pct.P,UCB95Pct.P
Virginia,VSCIAll,1,14.15835219,0.525713047,0,1.448575027
Virginia,VSCIAll,2,15.8967343,0.647831765,0,1.568952797
Virginia,VSCIAll,3,18.105,1.173544812,0,2.429842252
Virginia,VSCIAll,4,21.365,1.263803827,0,2.529547061
Virginia,VSCIAll,5,22.31799671,1.789516874,0.274236149,3.304797599
Virginia,VSCIAll,6,23.25096615,2.315229921,0.594144143,4.036315699
Virginia,VSCIAll,7,24.08,2.840942968,0.913468366,4.76841757
Virginia,VSCIAll,8,24.25,2.931201983,0.997806636,4.864597329
Virginia,VSCIAll,9,26.95628076,3.45691503,1.442945563,5.470884496
Virginia,VSCIAll,10,27,3.579033748,1.555318128,5.602749367
Virginia,VSCIAll,11,28.65,3.669292763,1.646213023,5.692372502
Virginia,VSCIAll,12,28.685,3.791411481,1.758401096,5.824421865
Virginia,VSCIAll,13,29.545,4.317124528,2.126974144,6.507274911
Virginia,VSCIAll,14,31.12369774,4.407383542,2.217824916,6.596942169
Virginia,VSCIAll,15,31.85731176,4.582621225,2.377720696,6.787521753
Virginia,VSCIAll,16,32.09,4.704739943,2.506210162,6.903269724
Virginia,VSCIAll,17,32.14413123,4.794998958,2.592122869,6.997875046
Virginia,VSCIAll,18,33.13,4.851725716,2.646928615,7.056522818
Virginia,VSCIAll,19,33.1923545,5.377438763,3.033157678,7.721719849
Virginia,VSCIAll,20,33.78991647,5.499557481,3.146439089,7.852675874
Virginia,VSCIAll,21,33.98726834,5.621676199,3.276926847,7.966425552
Virginia,VSCIAll,22,34.175,6.147389246,3.655677534,8.639100958
Virginia,VSCIAll,23,34.74,6.322626929,3.825620583,8.819633274
Virginia,VSCIAll,24,35.43285115,6.412885944,3.911754062,8.914017825
Virginia,VSCIAll,25,36.2,6.453592183,3.950845313,8.956339053
Virginia,VSCIAll,26,36.39,6.543851198,4.036345055,9.05135734
Virginia,VSCIAll,27,37.48,7.069564245,4.454999663,9.684128827
Virginia,VSCIAll,28,37.55981641,7.595277292,4.881212087,10.3093425
Virginia,VSCIAll,29,37.75688091,7.71739601,4.996081749,10.43871027
Virginia,VSCIAll,30,37.86,7.807655025,5.080951832,10.53435822
Virginia,VSCIAll,31,37.88361766,7.864381783,5.136256032,10.59250754
Virginia,VSCIAll,32,38.05,7.954640798,5.222135442,10.68714615
Virginia,VSCIAll,33,38.32167978,8.480353845,5.652263833,11.30844386
Virginia,VSCIAll,34,38.35318571,8.602472563,5.769020546,11.43592458
Virginia,VSCIAll,35,38.46,9.12818561,6.183982713,12.07238851
Virginia,VSCIAll,36,38.53168593,9.218444625,6.270530736,12.16635851
Virginia,VSCIAll,37,38.83,9.259150865,6.310312515,12.20798921
Virginia,VSCIAll,38,39.005,9.784863912,6.732549179,12.83717864
Virginia,VSCIAll,39,39.08049413,9.90698263,6.851457936,12.96250732
Virginia,VSCIAll,40,39.11,10.02910135,6.966785997,13.0914167
Virginia,VSCIAll,41,39.18617928,10.15122007,7.08374465,13.21869548
Virginia,VSCIAll,42,39.33,10.24147908,7.184428419,13.29852974
Virginia,VSCIAll,43,39.42359798,10.2690345,7.211340992,13.32672802
Virginia,VSCIAll,44,39.50210035,10.79474755,7.638384265,13.95111084
Virginia,VSCIAll,45,39.73721623,10.91686627,7.757452671,14.07627987
Virginia,VSCIAll,46,39.74,11.44257932,8.220101424,14.66505721
Virginia,VSCIAll,47,40.04,11.56469803,8.340705825,14.78869024
Virginia,VSCIAll,48,40.09,11.68681675,8.460316684,14.91331682
Virginia,VSCIAll,49,40.26554832,11.77707577,8.549904542,15.00424699
Virginia,VSCIAll,50,40.37873389,11.89919449,8.668225688,15.13016328
Virginia,VSCIAll,51,41.05506572,12.0213132,8.7835279,15.25909851
Virginia,VSCIAll,52,41.24848132,12.54702625,9.220844363,15.87320814
Virginia,VSCIAll,53,41.52,12.80988277,9.47250381,16.14726174
Virginia,VSCIAll,54,41.5535742,12.90014179,9.563330479,16.2369531
Virginia,VSCIAll,55,41.57,13.02226051,9.681531999,16.36298901
Virginia,VSCIAll,56,41.75156559,13.11251952,9.76912379,16.45591525
Virginia,VSCIAll,57,41.96,13.14007495,9.797659227,16.48249066
Virginia,VSCIAll,58,42.07697,13.1968017,9.853204029,16.54039938
Virginia,VSCIAll,59,42.09438301,13.28706072,9.940461454,16.63365998
Virginia,VSCIAll,60,42.305,13.34378748,9.998004736,16.68957022
Virginia,VSCIAll,61,42.31021127,13.4659062,10.11624754,16.81556485
Virginia,VSCIAll,62,42.3708741,13.58802491,10.23408526,16.94196457
Virginia,VSCIAll,63,42.72080382,13.71014363,10.37892513,17.04136213
Virginia,VSCIAll,64,42.78598762,13.83226235,10.49218041,17.17234429
Virginia,VSCIAll,65,42.825,13.88898911,10.54915245,17.22882577
Virginia,VSCIAll,66,43.13629236,14.01110783,10.67261991,17.34959574
Virginia,VSCIAll,67,43.16481917,14.10136684,10.77161808,17.4311156
Virginia,VSCIAll,68,43.18,14.22348556,10.88955665,17.55741447
Virginia,VSCIAll,69,43.38645102,14.74919861,11.32487986,18.17351736
Virginia,VSCIAll,70,43.56223916,14.87131732,11.44108753,18.30154712
Virginia,VSCIAll,71,43.57,15.39703037,11.94312779,18.85093295
Virginia,VSCIAll,72,43.63498888,15.51914909,12.06933171,18.96896647
Virginia,VSCIAll,73,43.66218847,15.54670451,12.0976353,18.99577373
Virginia,VSCIAll,74,43.77,15.63696353,12.18655306,19.08737399
Virginia,VSCIAll,75,43.94,15.75908225,12.3101398,19.2080247
Virginia,VSCIAll,76,44.04,15.88120096,12.42581548,19.33658645
Virginia,VSCIAll,77,44.2504889,15.90875639,12.45263866,19.36487412
Virginia,VSCIAll,78,44.37750778,16.43446944,12.88792744,19.98101143
Virginia,VSCIAll,79,44.465,16.55658815,13.00716419,20.10601212
Virginia,VSCIAll,80,44.475,16.67870687,13.12482062,20.23259312
Virginia,VSCIAll,81,44.81942901,16.7062623,13.15246117,20.26006343
Virginia,VSCIAll,82,45.18158508,16.82838101,13.28317884,20.37358319
Virginia,VSCIAll,83,45.215,16.91864003,13.38133343,20.45594663
Virginia,VSCIAll,84,45.66366652,16.97536679,13.43855165,20.51218192
Virginia,VSCIAll,85,45.90993294,17.0974855,13.56764342,20.62732759
Virginia,VSCIAll,86,45.95676618,17.62319855,14.03799177,21.20840534
Virginia,VSCIAll,87,45.98,17.68425791,14.09815631,21.27035951
Virginia,VSCIAll,88,46.055,18.20997096,14.56978262,21.85015929
Virginia,VSCIAll,89,46.20054834,18.33208968,14.68809792,21.97608144
Virginia,VSCIAll,90,46.275,18.45420839,14.80523811,22.10317868
Virginia,VSCIAll,91,46.30073155,18.97992144,15.29638843,22.66345445
Virginia,VSCIAll,92,46.68,19.15515912,15.47342898,22.83688926
Virginia,VSCIAll,93,46.68907088,19.24541814,15.557679,22.93315728
Virginia,VSCIAll,94,46.78989845,19.77113119,16.01983341,23.52242896
Virginia,VSCIAll,95,46.83719546,19.8932499,16.13729265,23.64920716
Virginia,VSCIAll,96,46.90739435,19.98350892,16.22517532,23.74184251
Virginia,VSCIAll,97,46.94877431,20.04023568,16.28073792,23.79973343
Virginia,VSCIAll,98,46.99381758,20.16235439,16.39971075,23.92499804
Virginia,VSCIAll,99,47.04,20.18990982,16.42687827,23.95294137
Virginia,VSCIAll,100,47.05900922,20.71562287,16.88683021,24.54441552
Virginia,VSCIAll,101,47.06767709,21.24133591,17.35948553,25.12318629
Virginia,VSCIAll,102,47.11105353,21.29806267,17.41568745,25.1804379
Virginia,VSCIAll,103,47.55384259,21.38832169,17.51083257,25.2658108
Virginia,VSCIAll,104,47.70668057,21.5104404,17.62701608,25.39386473
Virginia,VSCIAll,105,47.76034325,21.63255912,17.74218188,25.52293637
Virginia,VSCIAll,106,47.88,22.15827217,18.20102291,26.11552143
Virginia,VSCIAll,107,47.935,22.68398522,18.69334002,26.67463042
Virginia,VSCIAll,108,48.00258783,22.74071198,18.74913517,26.73228878
Virginia,VSCIAll,109,48.0320781,22.86283069,18.88820017,26.83746122
Virginia,VSCIAll,110,48.12623032,22.89038612,18.91474172,26.86603051
Virginia,VSCIAll,111,48.43329191,23.01250483,19.04298024,26.98202943
